job_title_salary_rank,company_size,experience_level_encoded,employment_type_encoded,work_year,salary_in_usd,job_title,company_location,experience_level,employment_type,remote_ratio
7,2,2,1,2024,116000,Engineer,US,MI,FT,0
3,2,2,1,2024,187300,Software Engineer,US,MI,FT,0
3,2,2,1,2024,87200,Software Engineer,US,MI,FT,0
10,2,2,1,2024,161300,Analyst,US,MI,FT,0
10,2,2,1,2024,107300,Analyst,US,MI,FT,0
3,2,2,1,2024,207992,Software Engineer,US,MI,FT,0
7,2,1,1,2024,99000,Engineer,US,EN,FT,0
3,2,2,1,2024,118612,Software Engineer,US,MI,FT,0
7,2,2,1,2024,65811,Engineer,US,MI,FT,0
8,2,2,1,2024,112900,Cloud Database Administrator,US,MI,FT,0
8,2,2,1,2024,75300,Cloud Database Administrator,US,MI,FT,0
8,2,2,1,2024,137000,Data Visualization Specialist,US,MI,FT,0
8,2,2,1,2024,60300,Data Visualization Specialist,US,MI,FT,0
8,2,3,1,2024,224880,Analytics Engineer,US,SE,FT,0
8,2,3,1,2024,121500,Analytics Engineer,US,SE,FT,0
8,2,2,1,2024,161000,Analytics Engineer,US,MI,FT,0
8,2,3,1,2024,75000,Analytics Engineer,GB,SE,FT,0
7,2,3,1,2024,125000,Data Engineer,GB,SE,FT,0
7,2,3,1,2024,100000,Data Engineer,GB,SE,FT,0
7,2,3,1,2024,204000,Data Engineer,US,SE,FT,100
7,2,3,1,2024,163000,Data Engineer,US,SE,FT,100
7,2,1,1,2024,44000,Data Engineer,US,EN,FT,0
7,2,3,1,2024,217100,Data Engineer,US,SE,FT,0
7,2,3,1,2024,116900,Data Engineer,US,SE,FT,0
6,2,2,1,2024,150327,Data Scientist,US,MI,FT,0
6,2,2,1,2024,89139,Data Scientist,US,MI,FT,0
6,2,3,1,2024,209300,Data Scientist,US,SE,FT,0
4,2,3,1,2024,202300,Manager,US,SE,FT,100
4,2,3,1,2024,126700,Manager,US,SE,FT,100
10,2,3,1,2024,115000,Analyst,US,SE,FT,0
3,2,2,1,2024,186000,Software Engineer,US,MI,FT,0
10,2,1,1,2024,64111,Data Analyst,AT,EN,FT,0
10,2,1,1,2024,142500,Data Analyst,US,EN,FT,0
10,2,3,1,2024,195500,Data Analyst,US,SE,FT,0
3,2,2,1,2024,158400,Software Developer,US,MI,FT,100
3,2,2,1,2024,91800,Software Developer,US,MI,FT,100
6,2,2,1,2024,124800,Data Scientist,US,MI,FT,100
6,2,2,1,2024,76128,Data Scientist,US,MI,FT,100
6,2,3,1,2024,155376,Data Scientist,US,SE,FT,100
6,2,3,1,2024,95264,Data Scientist,US,SE,FT,100
3,2,2,1,2024,60800,Software Engineer,US,MI,FT,0
8,2,2,1,2024,90000,Technical Writer,US,MI,FT,0
8,2,2,1,2024,80000,Technical Writer,US,MI,FT,0
4,2,2,1,2024,164000,Manager,US,MI,FT,0
4,2,2,1,2024,97100,Manager,US,MI,FT,0
2,2,3,1,2024,222500,Solution Architect,US,SE,FT,0
2,2,3,1,2024,140000,Solution Architect,US,SE,FT,0
1,2,3,1,2024,222830,Machine Learning Engineer,US,SE,FT,0
1,2,3,1,2024,234200,Machine Learning Engineer,US,SE,FT,0
1,2,4,1,2024,174100,Director of Machine Learning,US,EX,FT,0
10,2,1,1,2024,113364,Data Analyst,US,EN,FT,0
10,2,1,1,2024,73752,Data Analyst,US,EN,FT,0
10,2,2,1,2024,165300,Data Analyst,US,MI,FT,0
10,2,2,1,2024,78700,Data Analyst,US,MI,FT,0
3,2,3,1,2024,129000,Software Engineer,US,SE,FT,0
6,2,1,1,2024,27885,Data Scientist,GB,EN,FT,0
7,2,3,1,2024,110500,Data Engineer,US,SE,FT,0
7,2,1,1,2024,111250,Data Engineer,GB,EN,FT,0
7,2,1,1,2024,83875,Data Engineer,GB,EN,FT,0
7,2,3,1,2024,134000,Data Engineer,US,SE,FT,0
7,2,3,1,2024,240640,Data Engineer,US,SE,FT,0
7,2,3,1,2024,197760,Data Engineer,US,SE,FT,0
7,2,3,1,2024,208900,Engineer,US,SE,FT,0
7,2,3,1,2024,126600,Engineer,US,SE,FT,0
3,2,2,1,2024,117120,Software Engineer,US,MI,FT,100
3,2,2,1,2024,95825,Software Engineer,US,MI,FT,100
5,2,2,1,2024,97000,Associate,US,MI,FT,0
7,2,3,1,2024,172500,Engineer,US,SE,FT,0
7,2,3,1,2024,127500,Engineer,US,SE,FT,0
10,2,1,1,2024,160000,Data Analyst,US,EN,FT,0
7,2,2,1,2024,140000,Data Engineer,US,MI,FT,100
6,2,1,1,2024,120000,Data Scientist,US,EN,FT,0
6,2,1,1,2024,100000,Data Scientist,US,EN,FT,0
3,2,3,1,2024,187200,Software Engineer,US,SE,FT,0
7,3,2,1,2024,151400,Engineer,US,MI,FT,0
7,3,2,1,2024,67700,Engineer,US,MI,FT,0
5,2,3,1,2024,200800,Research Engineer,US,SE,FT,0
10,2,3,1,2024,132100,Data Analyst,US,SE,FT,0
10,2,3,1,2024,93700,Data Analyst,US,SE,FT,0
10,2,1,1,2024,90000,Data Analyst,CA,EN,FT,100
10,2,1,1,2024,81000,Data Analyst,CA,EN,FT,100
10,2,2,1,2024,72000,Data Analyst,US,MI,FT,0
7,2,3,1,2024,208600,Data Engineer,US,SE,FT,100
7,2,3,1,2024,208600,Data Engineer,US,SE,FT,0
8,2,2,1,2024,88117,Robotics Engineer,DE,MI,FT,0
8,2,2,1,2024,70492,Robotics Engineer,DE,MI,FT,0
1,2,2,1,2024,210000,Machine Learning Engineer,US,MI,FT,100
1,2,2,1,2024,142000,Machine Learning Engineer,US,MI,FT,100
1,2,2,1,2024,175000,Machine Learning Engineer,CA,MI,FT,100
1,2,2,1,2024,125000,Machine Learning Engineer,CA,MI,FT,100
1,2,3,1,2024,110465,Machine Learning Engineer,MX,SE,FT,100
1,2,3,1,2024,93023,Machine Learning Engineer,MX,SE,FT,100
1,2,3,1,2024,233840,Machine Learning Engineer,US,SE,FT,0
1,2,3,1,2024,189110,Machine Learning Engineer,US,SE,FT,0
1,2,3,1,2024,280000,Machine Learning Engineer,US,SE,FT,0
